Rank,Word,Occurrences,Duolingo_Words,JLPT_Words,JLPT_Level,Definitions,JLPT_Jisho_Level,JLPT_Additional_Difficulty
38.0,この,4319178.0,1,1,N3,['this'],N5,"['N1', 'N3']"
39.0,市,4237886.0,1,1,N4,['city'],N4,[]
40.0,県,4172373.0,1,1,N3,"['prefecture (of Japan)', 'county (of China, Taiwan, Norway, etc.)', 'department (of France)', 'province (of Italy, Spain, etc.)']",N3,[]
41.0,れる,4087004.0,0,0,,"['indicates passive voice (incl. the ""suffering passive"")']",NaN,[]
42.0,あり,3994018.0,0,0,,['ant'],NaN,[]
43.0,ん,3927661.0,1,0,,"['yes', 'yeah', 'uh huh']",NaN,[]
44.0,よう,3592448.0,1,0,,"['appearing ...', 'looking ...']",N3,[]
45.0,ため,3527457.0,0,0,,"['good', 'advantage', 'benefit', 'welfare']",N4,[]
46.0,的,3512391.0,1,1,N3,"['-ical', '-ive', '-al', '-ic', '-y']",N1,[]
47.0,編集,3499589.0,1,1,N2,"['editing', 'compilation']",N2,[]
48.0,ください,3487583.0,1,0,,['please (give me)'],N5,[]
49.0,人,3446854.0,1,1,N5,"['person', 'someone', 'somebody']",N5,[]
50.0,という,3393215.0,0,0,,"['called', 'named', 'that says', 'that']",NaN,[]
51.0,など,3164644.0,0,0,,"['et cetera', 'etc.', 'and the like', 'and so forth']",N5,['N3']
52.0,依頼,3077750.0,0,1,N3,"['request', 'commission', 'entrusting (with a matter)']",N3,[]
53.0,なっ,3075241.0,0,0,,"['long (distance, length)']",N5,['N2']
54.0,名,2915854.0,1,1,N3,"['name', 'given name']",N3,[]
55.0,版,2911015.0,0,1,N1,"['edition', 'version', 'printing', 'impression', 'implementation (of software)']",N1,[]
56.0,でき,2899015.0,0,0,,"['workmanship', 'craftsmanship', 'execution', 'finish']",NaN,[]
57.0,ませ,2855370.0,1,0,,['short roughly woven fence'],NaN,[]
58.0,リンク,2841040.0,0,0,,"['link', 'linking', 'linkage']",NaN,[]
59.0,駅,2785996.0,1,1,N5,"['railway station', 'train station']",N5,[]
60.0,記事,2618516.0,1,1,N3,"['article', 'news story', 'report', 'account']",N3,[]
61.0,‐,2582555.0,0,0,,[],NaN,[]
62.0,について,2580463.0,0,0,,"['about', 'on', 'regarding', 'concerning']",NaN,[]
63.0,う,2561249.0,1,0,,"['the Rabbit (fourth sign of the Chinese zodiac)', 'the Hare']",N1,[]
64.0,その,2478738.0,1,1,N3,"['that', 'the']",N5,['N3']
65.0,もの,2429116.0,1,0,,"['thing', 'object', 'article', 'stuff', 'substance']",N5,[]
66.0,投稿,2427826.0,0,0,,"['contribution (to a newspaper, magazine, etc.)', 'submission', 'post (on a blog, social media, etc.)']",NaN,[]
67.0,ば,2377443.0,1,0,,"['place', 'spot', 'space']",N3,[]
68.0,町,2324190.0,1,1,N5,"['town', 'block', 'neighbourhood', 'neighborhood']",N5,['N3']
69.0,まし,2303818.0,0,0,,"['better', 'preferable', 'less objectionable', 'least-worst']",N1,[]
70.0,なる,2202929.0,0,0,,"['to become', 'to get', 'to grow', 'to turn', 'to reach', 'to attain']",N5,['N3']
71.0,場合,2178072.0,0,1,N4,"['case', 'occasion', 'situation', 'circumstances']",N4,[]
72.0,あっ,2114640.0,0,0,,"['ah', 'oh']",N4,[]
73.0,ノート,2104611.0,1,0,,"['notebook', 'copy-book', 'exercise book']",N5,[]
74.0,号,2071352.0,1,1,N1,"['number', 'edition', 'make', 'model', 'issue', 'part of that group']",N1,[]
75.0,方針,2053308.0,0,1,N2,"['policy', 'course', 'plan (of action)', 'principle']",N2,[]
76.0,回,2030286.0,1,1,N3,['counter for occurrences'],N3,[]
77.0,さん,2007230.0,1,0,,"['three', '3']",N5,['N1']
78.0,まで,1984782.0,0,0,,"['until (a time)', 'till', 'to', 'up to']",NaN,[]
79.0,だ,1984114.0,1,0,,"['be', 'is']",NaN,[]
80.0,中,1955319.0,1,1,N5,"['medium (size)', 'average (grade, level, etc.)', 'middle']",N3,[]
81.0,ので,1935849.0,0,1,N5,"['that being the case', 'because of ...', 'the reason is ...', 'given that ...']",NaN,[]
82.0,一,1930524.0,1,1,N5,"['one', '1']",N5,[]
83.0,放送,1929684.0,0,1,N4,"['broadcasting', 'broadcast', 'program', 'announcement']",N3,[]
84.0,後,1895699.0,1,1,N5,['after'],N3,[]
85.0,おり,1830729.0,0,0,,"['weave', 'weaving', 'woven item']",N1,[]
86.0,人物,1823937.0,0,1,N3,"['person', 'character', 'figure', 'personage', 'man', 'woman']",N3,[]
87.0,署名,1790311.0,0,1,N3,['signature'],N3,[]
88.0,本,1770654.0,1,1,N5,"['book', 'volume', 'script']",N5,[]
89.0,において,1766401.0,0,0,,"['at (a time or place)', 'in', 'on']",NaN,[]
90.0,家,1754259.0,1,1,N5,"['house', 'residence', 'dwelling']",N5,[]
91.0,られ,1733749.0,0,0,,"['enumeration', 'citation', 'listing']",NaN,[]
92.0,また,1703312.0,0,0,,"['again', 'once more', 'once again', 'another time', 'some other time']",N5,['N3']
93.0,選手,1687559.0,0,1,N3,"['player (of a sport)', 'athlete', 'team member']",N3,[]
94.0,お,1683111.0,1,0,,"['tail (of an animal)', 'cauda']",N1,[]
95.0,活動,1672746.0,0,1,N3,"['activity (of a person, organization, animal, volcano, etc.)', 'action', 'operation']",N3,[]
96.0,東京,1639773.0,1,0,,['Tokyo'],NaN,[]
97.0,画像,1638303.0,0,0,,"['image', 'picture', 'portrait']",NaN,[]
98.0,会,1602809.0,0,1,N3,"['meeting', 'assembly', 'party', 'gathering', 'conference', 'athletic meet']",N3,[]
99.0,学校,1600836.0,1,1,N5,['school'],N5,[]
100.0,映画,1595930.0,1,1,N5,"['movie', 'film', 'motion picture']",N5,[]
101.0,時,1581916.0,1,1,N3,"['time', 'hour', 'moment']",N3,[]
102.0,情報,1579393.0,1,1,N3,"['information', 'news', 'report', 'intelligence']",N3,[]
103.0,性,1574457.0,0,1,N3,['nature (of a person)'],N3,[]
104.0,部,1570220.0,1,1,N1,"['department (in an organization, company, etc.)', 'division', 'bureau', 'faculty']",N1,[]
105.0,より,1565260.0,0,0,,['than'],N5,[]
106.0,案内,1563512.0,0,1,N4,"['guidance', 'leading (the way)', 'showing around']",N3,[]
107.0,質問,1538836.0,1,1,N5,"['question', 'inquiry', 'enquiry']",N5,[]
108.0,区,1525726.0,0,1,N1,"['ward', 'borough', 'city (in Tokyo)']",N1,[]
109.0,ご,1517455.0,1,0,,"['five', '5']",N5,[]
110.0,大,1481669.0,0,1,N3,"['large', 'big', 'great', 'huge', 'vast', 'major', 'important', 'serious', 'severe']",NaN,[]
111.0,上,1478919.0,1,1,N5,"['above', 'over', 'up']",N5,[]
112.0,紹介,1427701.0,0,1,N4,"['introduction', 'presentation', 'referral', 'showcase (of a product)']",N4,[]
113.0,作成,1399991.0,0,1,N2,"['making (a report, plan, contract, etc.)', 'drawing up', 'writing out', 'preparing', 'creating (a file, website, account, etc.)']",N2,[]
114.0,日本語,1381104.0,0,0,,['Japanese (language)'],NaN,[]
115.0,これ,1368506.0,1,0,,"['this', 'this one']",N5,['N1']
116.0,位,1362274.0,1,1,N3,"['throne', 'crown', ""(nobleman's) seat""]",N3,[]
117.0,国,1354365.0,1,1,N5,"['country', 'state']",N5,[]
118.0,二,1353558.0,1,1,N5,"['two', '2']",N5,[]
119.0,一覧,1350292.0,0,0,,"['look', 'glance', 'sight', 'having a look at', 'looking over', 'glancing through', ""running one's eyes over""]",NaN,[]
120.0,作品,1338807.0,0,1,N3,"['work (e.g. book, film, painting, composition)', 'piece', 'production', 'opus']",N3,[]
121.0,ようこそ,1335698.0,0,0,,['welcome'],NaN,[]
122.0,議論,1333300.0,0,1,N3,"['argument', 'discussion', 'dispute', 'controversy']",N3,[]
123.0,使用,1323486.0,0,1,N3,"['use', 'application', 'employment', 'utilization', 'utilisation']",N3,[]
124.0,村,1316977.0,1,1,N5,['village'],N5,[]
125.0,出典,1315020.0,0,0,,"['source (e.g. quotation)', 'authority']",NaN,[]
126.0,世界,1313482.0,0,1,N4,"['the world', 'society', 'the universe']",N4,[]
127.0,テレビ,1308850.0,1,0,,"['television', 'TV']",N5,[]
128.0,による,1302745.0,0,0,,"['by means of', 'due to', 'because of', 'according to']",NaN,[]
129.0,州,1296057.0,1,1,N3,"['state (of the US, Australia, India, Germany, etc.)', 'province (e.g. of Canada)', 'county (e.g. of the UK)', 'region (e.g. of Italy)', 'canton', 'oblast']",N3,[]
130.0,なり,1294804.0,0,0,,"['or something', 'for instance ... (though there are other suitable options)']",NaN,[]
131.0,三,1292933.0,1,1,N5,"['three', '3']",N5,['N1']
132.0,問題,1290330.0,1,1,N5,"['question (e.g. on a test)', 'problem']",N5,[]
133.0,昭和,1277358.0,0,0,,['Shōwa era (1926.12.25-1989.1.7)'],NaN,[]
134.0,線,1268451.0,1,1,N4,"['line', 'stripe', 'stria']",N4,[]
135.0,郡,1266391.0,0,1,N2,"['district', 'county']",N2,[]
136.0,番組,1259573.0,0,1,N4,"['program (e.g. TV)', 'programme']",N4,[]
137.0,ファイル,1256470.0,0,0,,['file (for holding papers)'],N1,[]
138.0,脚注,1249531.0,0,0,,['footnote'],NaN,[]
139.0,賞,1234773.0,1,1,N3,"['prize', 'award']",N3,[]
140.0,なく,1226315.0,0,0,,"['to make sound (of an animal)', 'to call', 'to cry', 'to whine', 'to sing', 'to chirp']",N5,[]
141.0,なら,1223724.0,0,1,N4,"['if', 'in case', 'if it is the case that', 'if it is true that']",NaN,[]
142.0,自己,1210226.0,0,1,N1,"['self', 'oneself']",N1,[]
143.0,話,1195373.0,1,1,N5,"['talk', 'speech', 'chat', 'conversation']",N5,[]
144.0,ず,1187563.0,1,0,,"['drawing', 'picture', 'diagram', 'figure', 'illustration', 'chart', 'graph', 'map']",N3,[]
145.0,により,1173356.0,0,0,,"['according to', 'by (means of)', 'due to', 'because of']",NaN,[]
146.0,分,1161388.0,1,1,N3,"['part', 'portion', 'share']",N3,[]
147.0,前,1157920.0,1,1,N5,"['last (i.e. immediately preceding)', 'previous', 'ex-', 'former']",N1,[]
148.0,代表,1152408.0,0,1,N3,"['representation', 'representative', 'delegate', 'delegation']",N3,[]
149.0,たら,1150255.0,0,0,,"['if', 'when', 'after']",NaN,[]
150.0,せ,1148822.0,1,0,,['back'],N5,[]
151.0,化,1142394.0,0,0,,"['change to ...', 'becoming ...', 'making into ...', '-ization', '-ification']",NaN,[]
152.0,平成,1140029.0,0,0,,['Heisei era (1989.1.8-2019.4.30)'],NaN,[]
153.0,に関する,1135681.0,0,0,,"['as far as ... is concerned', 'so far as ... can tell']",NaN,[]
154.0,できる,1127693.0,0,1,N3,"['to be able to do', 'to be possible', 'to be permitted (to do)']",N5,['N3']
155.0,出身,1116960.0,0,1,N3,"[""one's origin (e.g. city, country, parentage, school)""]",N3,[]
156.0,仮,1116740.0,0,1,N1,"['temporary', 'provisional', 'interim', 'tentative']",N1,[]
157.0,スタイル,1116515.0,0,0,,"[""(one's) figure"", 'build', 'physique', 'shape']",N3,[]
158.0,ガイドライン,1116135.0,0,0,,['guideline'],NaN,[]
159.0,思い,1102001.0,0,0,,['thought'],NaN,[]
160.0,方,1095831.0,1,1,N5,"['direction', 'way', 'side', 'area (in a particular direction)']",N3,[]
161.0,外部,1087057.0,0,1,N2,"['outside (e.g. of a building)', 'exterior']",N2,[]
162.0,数,1082809.0,1,1,N3,"['several', 'a few', 'a number of']",N3,[]
163.0,五,1082067.0,1,1,N5,"['five', '5']",N5,[]
164.0,内容,1080586.0,0,1,N3,"['contents', 'content', 'substance', 'matter', 'detail', 'import']",N3,[]
165.0,児童,1076772.0,0,1,N2,"['children', 'juvenile']",N2,[]
166.0,関連,1072424.0,0,1,N3,"['relation', 'connection', 'relevance']",N3,[]
167.0,ヘルプ,1072012.0,0,0,,['help'],NaN,[]
168.0,現在,1070173.0,0,1,N3,"['the present', 'present time', 'now']",N3,[]
169.0,時代,1069553.0,0,1,N4,"['period', 'epoch', 'era', 'age']",N4,[]
170.0,元,1068655.0,0,1,N3,"['origin', 'source', 'beginning']",N3,[]
171.0,それ,1057447.0,1,1,N3,"['that', 'it']",N5,"['N1', 'N3']"
172.0,研究,1049423.0,0,1,N4,"['research', 'study', 'investigation']",N4,[]
173.0,新,1046962.0,1,1,N1,"['new', 'neo-']",N1,[]
174.0,注意,1046053.0,0,1,N4,"['attention', 'notice', 'heed']",N4,[]
175.0,他,1045860.0,0,1,N3,"['another place', 'some other place', 'somewhere else', 'outside']",N5,['N3']
176.0,金,1045552.0,1,1,N3,['gold (Au)'],N1,[]
177.0,局,1044486.0,1,1,N3,"['bureau', 'department']",N3,[]
178.0,機能,1041465.0,1,1,N3,"['function', 'facility', 'faculty', 'feature']",N3,[]
179.0,あなた,1036602.0,0,0,,['you'],N5,['N1']
180.0,除去,1035310.0,0,0,,"['removal', 'getting rid of']",NaN,[]
181.0,鉄道,1027993.0,0,1,N3,"['railroad', 'railway', 'rail transport']",N3,[]
182.0,項目,1023820.0,0,1,N2,"['item', 'heading', 'category', 'clause']",N2,[]
183.0,】,1023454.0,0,0,,[],NaN,[]
184.0,【,1022237.0,0,0,,"['social relationship', 'social context']",NaN,[]
185.0,目,1005563.0,1,1,N5,"['eye', 'eyeball']",N5,[]
186.0,とき,1003047.0,0,0,,"['time', 'hour', 'moment']",N3,[]
187.0,用,1001072.0,0,1,N4,"['business', 'task', 'errand', 'engagement']",N4,[]
188.0,曲,992390.0,1,1,N1,"['composition', 'piece of music', 'song', 'track (on a record)']",N1,[]
189.0,社,988200.0,0,1,N1,['(Shinto) shrine'],N1,[]
190.0,使い方,987547.0,0,0,,"['way of using (something)', 'way to use', 'how to use', 'usage', 'use']",NaN,[]
191.0,必要,973655.0,0,1,N4,"['necessary', 'needed', 'essential', 'indispensable']",N4,[]
192.0,説明,971572.0,0,1,N4,"['explanation', 'exposition', 'description', 'account', 'caption', 'legend']",N4,[]
193.0,基本,966733.0,0,1,N3,"['basics', 'fundamentals', 'basis', 'foundation']",N3,[]
194.0,によって,964460.0,0,0,,"['according to', 'by (means of)', 'due to', 'because of']",NaN,[]
195.0,大学,957096.0,1,1,N5,"['university', 'college']",N5,[]
196.0,変更,938353.0,0,1,N3,"['change', 'modification', 'alteration', 'revision', 'amendment']",N3,[]
197.0,水,926059.0,1,1,N5,['water (esp. cool or cold)'],N5,[]
198.0,新しい,921207.0,1,1,N5,"['new', 'novel', 'fresh', 'recent', 'latest', 'up-to-date', 'modern']",N5,[]
199.0,チーム,920913.0,1,0,,['team'],N3,[]
200.0,執筆,916280.0,0,1,N2,"['writing', 'authoring']",N2,[]
201.0,道,916124.0,1,1,N5,"['road', 'path', 'street', 'lane', 'passage']",N5,[]
202.0,間,911491.0,1,1,N4,"['space (between)', 'gap', 'interval', 'distance', 'stretch']",N4,[]
203.0,型,909909.0,0,1,N3,"['type', 'style', 'model', 'pattern']",N3,[]
204.0,でしょ,908169.0,0,0,,"['it seems', 'I think', 'I guess', 'I wonder']",NaN,[]
205.0,サッカー,896912.0,1,0,,"['soccer', '(association) football']",NaN,[]
206.0,大会,895408.0,0,1,N3,"['mass meeting', 'convention', 'rally', 'conference', 'assembly', 'gathering']",N3,[]
207.0,ガイドブック,892842.0,0,0,,['guidebook'],N1,[]
208.0,地,882129.0,1,1,N3,"['earth', 'ground', 'land', 'soil']",N3,[]
209.0,のみ,881973.0,0,0,,"['only', 'nothing but']",NaN,[]
210.0,み,877495.0,1,0,,"['fruit', 'nut']",N3,[]
211.0,書か,877199.0,0,0,,"['bookshelf', 'bookcase']",NaN,[]
212.0,べき,871249.0,0,0,,"['should', 'must', 'ought to']",NaN,[]
213.0,たり,869955.0,0,0,,"['-ing and -ing (e.g. ""coming and going"")']",NaN,[]
214.0,ブロック,868784.0,0,0,,"['block (solid piece of material)', 'chunk (e.g. of meat)']",NaN,[]
215.0,私,867807.0,1,1,N5,"['I', 'me']",N5,[]
216.0,戦,867139.0,0,1,N1,"['war', 'battle', 'campaign', 'fight']",N1,[]
217.0,公式,866192.0,0,1,N2,"['official', 'formal']",N2,[]
218.0,出演,857571.0,0,1,N1,"['appearance (in a film, play, TV show, etc.)', 'performance']",N1,[]
219.0,可能,852548.0,1,1,N3,"['possible', 'potential', 'practicable', 'feasible']",N3,[]
220.0,登場,850347.0,0,1,N2,"['entrance (on the stage)', 'appearance (in a book, film, etc.)']",N2,[]
221.0,等,848832.0,0,1,N3,"['et cetera', 'etc.', 'and the like', 'and so forth']",N5,['N3']
222.0,系,847282.0,1,1,N1,"['system', 'lineage', 'group']",N1,[]
223.0,特別,843537.0,1,1,N4,"['special', 'particular', 'extraordinary', 'exceptional', 'especial']",N4,[]
224.0,監督,840711.0,1,1,N3,"['supervision', 'control', 'superintendence', 'direction']",N3,[]
225.0,氏,836560.0,1,1,N3,"['Mr', 'Mrs', 'Ms', 'Miss']",N3,[]
226.0,次,834502.0,1,1,N5,"['next', 'following', 'subsequent']",N5,[]
227.0,だっ,825961.0,0,0,,['derailment'],N2,[]
228.0,高等,824560.0,0,1,N2,"['high class', 'high grade']",N2,[]
229.0,時間,824252.0,1,1,N5,['time'],N5,[]
230.0,き,821769.0,1,0,,"['tree', 'shrub', 'bush']",N5,[]
231.0,〜,819632.0,0,0,,"['tilde', 'wave dash']",NaN,[]
232.0,内,809599.0,1,1,N3,"['inside', 'within']",N4,['N3']
233.0,音楽,807338.0,1,1,N5,['music'],N5,[]
234.0,歴史,806029.0,0,1,N4,['history'],N4,[]
235.0,所,804117.0,1,1,N5,"['place', 'spot', 'scene', 'site']",N5,[]
236.0,発売,803801.0,0,1,N2,"['sale', 'offering for sale', 'release (for sale)', 'launch (product)']",N2,[]
237.0,だけ,797767.0,0,0,,"['only', 'just', 'merely', 'simply', 'no more than', 'nothing but', 'alone']",N1,[]
238.0,語,797671.0,1,1,N3,"['word', 'term']",N3,[]
239.0,なかっ,796984.0,0,0,,"['to forget something ever existed', ""to pretend something didn't happen"", 'to put something behind one', 'to forgive (something)']",NaN,[]
240.0,ボックス,794355.0,0,0,,"['box', 'container', 'bin']",NaN,[]
241.0,生徒,793229.0,1,1,N5,"['pupil', 'student', 'schoolchild']",N5,[]
242.0,学,777650.0,0,1,N3,"['learning', 'scholarship', 'study', 'erudition', 'knowledge', 'education']",N3,[]
243.0,記録,777453.0,0,1,N3,"['record', 'document', 'minutes', 'recording', 'putting on record', 'keeping a record (of)', 'writing down']",N3,[]
244.0,軍,771854.0,0,1,N3,"['army', 'armed forces', 'troops']",N3,[]
245.0,万,769695.0,1,1,N5,"['10,000', 'ten thousand']",N5,[]
246.0,！,765820.0,0,0,,[],NaN,[]
247.0,場,765704.0,1,1,N3,"['place', 'spot', 'space']",N3,[]
248.0,全,763556.0,0,1,N3,"['all', 'whole', 'entire', 'complete', 'total', 'pan-']",NaN,[]
249.0,別,761971.0,1,1,N4,"['distinction', 'difference', 'discrimination']",N4,[]
250.0,初,757600.0,0,1,N1,"['first', 'new']",N1,[]
251.0,シリーズ,757096.0,0,0,,['series'],N2,[]
252.0,土,756662.0,1,1,N3,"['earth', 'soil', 'dirt', 'clay', 'mud']",N3,[]
253.0,木,753039.0,1,1,N5,"['tree', 'shrub', 'bush']",N5,[]
254.0,総合,750709.0,0,1,N1,"['synthesis', 'combination', 'integration', 'putting together']",N1,[]
255.0,何,749709.0,1,1,N5,['what'],N5,['N3']
256.0,行っ,748926.0,0,0,,"['have a good day', 'take care', 'see you']",N2,[]
257.0,ゲーム,748250.0,1,0,,['game'],N3,[]
258.0,サイト,747011.0,0,0,,['site'],NaN,[]
259.0,関係,746953.0,1,1,N4,"['relation', 'relationship', 'connection']",N4,[]
260.0,られる,744523.0,0,0,,"['indicates passive voice (incl. the ""suffering passive"")']",NaN,[]
261.0,お願い,743466.0,0,0,,"['request', 'favour (to ask)', 'wish']",NaN,[]
262.0,同じ,742226.0,1,1,N5,"['same', 'identical', 'equal', 'alike', 'equivalent']",N5,[]
263.0,サンド,737968.0,0,0,,['sandwich'],NaN,[]
264.0,つ,733087.0,1,0,,['indicates two contrasting actions'],NaN,[]
265.0,考え,729892.0,1,1,N3,"['thinking', 'thought', 'view', 'opinion', 'concept']",N3,[]
266.0,見,727968.0,1,0,,"['looking', 'viewing']",NaN,[]
267.0,火,725205.0,1,1,N4,"['fire', 'flame', 'blaze']",N4,[]
268.0,アルバム,722260.0,1,0,,['album'],N3,[]
269.0,点,716209.0,1,1,N4,"['dot', 'spot', 'point', 'speck', 'mark']",N4,[]
270.0,機,713820.0,1,1,N1,"['chance', 'opportunity']",NaN,[]
271.0,アニメ,713094.0,1,0,,"['animation', 'animated film', 'animated cartoon', 'anime']",NaN,[]
272.0,国際,709712.0,0,1,N4,['international'],N4,[]
273.0,法,709688.0,0,1,N3,"['law', 'act', 'principle']",N3,[]
274.0,ドラマ,709588.0,1,0,,"['(non-documentary) television series', 'TV drama', 'teledrama', 'play']",N3,[]
275.0,大阪,709142.0,1,0,,"['Osaka (city, prefecture)']",NaN,[]
276.0,ただし,707676.0,0,0,,"['but', 'however', 'provided that']",N2,[]
277.0,行わ,705412.0,0,0,,"['to be done', 'to be practiced', 'to be practised', 'to take place', 'to be held', 'to be prevalent', 'to be in fashion', 'to be in vogue', 'to be current', 'to come into use']",NaN,[]
278.0,たち,704547.0,1,0,,['pluralizing suffix (esp. for people and animals; formerly honorific)'],NaN,[]
279.0,柱,703296.0,0,1,N1,"['pillar', 'post']",N1,[]
280.0,マニュアル,694919.0,0,0,,['(instruction) manual'],NaN,[]
281.0,リーグ,692638.0,0,0,,['league'],NaN,[]
282.0,コメント,692238.0,0,0,,['comment'],N1,[]
283.0,教育,685733.0,1,1,N4,"['education', 'schooling', 'training', 'instruction', 'teaching', 'upbringing']",N4,[]
284.0,野球,685032.0,1,0,,['baseball'],NaN,[]
285.0,方々,683949.0,0,1,N3,"['people', '(all) persons', 'everyone', 'ladies and gentlemen']",N3,[]
286.0,確認,682216.0,1,1,N3,"['confirmation', 'verification', 'validation', 'review', 'check', 'affirmation', 'identification']",N3,[]
287.0,役,682188.0,1,1,N3,"['role', 'assignment', 'responsibility', 'duty', 'function', 'job', 'service']",N3,[]
288.0,株式会社,681805.0,0,0,,"['stock company', 'corporation', 'kabushiki kaisha', 'KK']",NaN,[]
289.0,同,681494.0,0,1,N1,"['the same', 'the said']",N1,[]
290.0,こんにちは,679434.0,1,0,,"['hello', 'good day', 'good afternoon']",N3,['N1']
291.0,書く,676634.0,1,1,N5,"['to write', 'to compose', 'to pen']",N5,[]
292.0,長,676397.0,1,1,N1,"['height', 'stature']",N1,[]
293.0,所属,674695.0,0,1,N1,"['belonging to (a group, organization, etc.)', 'affiliation (with)', 'being attached to', 'being under the control of', 'serving (in the military, congress, etc.)']",N1,[]
294.0,開始,674579.0,0,1,N3,"['start', 'commencement', 'beginning', 'initiation']",N3,[]
295.0,主,673022.0,1,0,,"['head (of a household)', 'proprietor (of a store)', 'proprietress', 'landlord', 'landlady']",NaN,[]
296.0,形,672643.0,1,1,N4,"['form', 'shape', 'figure']",N4,['N3']
297.0,アメリカ,672212.0,1,0,,"['(United States of) America', 'United States', 'US', 'USA']",N4,[]
298.0,＝,662185.0,0,0,,[],NaN,[]
299.0,アカウント,661509.0,0,0,,['account'],NaN,[]
300.0,ここ,661470.0,1,1,N3,"['individual', 'one by one', 'separate', 'each']",N1,[]
301.0,選手権,661402.0,0,0,,"['championship', 'title (of champion)']",NaN,[]
302.0,出場,660288.0,0,0,,"['participation (in a tournament, match, race, etc.)', 'entry', 'taking part (in)', 'competing (in)', 'appearance']",NaN,[]
303.0,たい,657404.0,1,0,,"['sea bream (esp. Pagrus major)', 'porgy']",NaN,[]
304.0,存在,655937.0,1,1,N3,"['existence', 'being', 'presence']",N3,[]
305.0,十,653706.0,1,1,N5,"['ten', '10']",N5,['N3']
306.0,記述,650283.0,0,1,N1,"['description', 'account']",N1,[]
307.0,際,649642.0,1,1,N3,"['occasion', 'time', 'circumstances', '(in) case (of)', 'when']",N3,[]
308.0,参考,647877.0,0,1,N3,"['reference', 'consultation']",N3,[]
309.0,事典,643658.0,0,0,,['encyclopedia'],NaN,[]
310.0,ら,643538.0,1,0,,['pluralizing suffix'],NaN,[]
311.0,史,642199.0,0,0,,['history'],NaN,[]
312.0,以上,636276.0,0,1,N4,"['not less than ...', '... and over', '... and above', '... and upwards', '... or more']",N4,[]
313.0,以下,631691.0,0,1,N4,"['not exceeding ...', 'not more than ...', '... and under', '... and below', '... or fewer']",N4,[]
314.0,作,629953.0,0,1,N1,"['work (e.g. of art)', 'piece', 'production']",N1,[]
315.0,競技,629309.0,0,1,N3,"['game', 'match', 'contest', 'competition', 'sport', '(sporting) event']",N3,[]
